"scientificName","speciesKey"
"poa nemoralis l.",2704300
"arum maculatum l.",5330580
"ranunculus bulbosus l.",3033329
"festuca pratensis huds.",2706237
"mercurialis perennis l.",3063016
"juncus conglomeratus l.",2701418
"rosa canina l.",3002461
"festuca arundinacea schreb.",2706231
"alisma plantago-aquatica l.",2865100
"persicaria maculosa gray",6391194
"galium mollugo l.",9039392
"origanum vulgare l.",2926612
"tripleurospermum inodorum (l.) sch.-bip",3104179
"glyceria maxima (hartm.) holmb.",2705484
"erica tetralix l.",5333412
"achillea ptarmica l.",3120333
"geranium dissectum l.",2890040
"geum rivale l.",5369701
"melampyrum pratense l.",7693914
"carex pilulifera l.",2726614
"sagina procumbens l.",3085402
"viola arvensis murray",5331235
"papaver rhoeas l.",2888443
"pilosella officinarum f.w.schultz & sch.bip., 1862",7874303
"hieracium pilosella l.",9458333
"scirpus sylvaticus l.",2720080
"neottia ovata (l.) bluff & fingerh.",2816250
"lysimachia nummularia l.",3169379
"stachys palustris l.",2927245
"alopecurus geniculatus l.",5290090
"sonchus arvensis l.",3105813
"veronica serpyllifolia l.",3172057
"luzula pilosa (l.) willd.",2700736
"sedum acre l.",5362007
"plantago media l.",3189747
"taraxacum officinale weber ex f.h.wigg.",5394163
"polygonatum multiflorum (l.) all.",2770022
"quercus petraea (matt.) liebl.",2880130
"viburnum lantana l.",2888615
"eriophorum vaginatum l.",2730185
"geranium molle l.",2891488
"echium vulgare l.",2925892
"valeriana officinalis l.",2888763
"epilobium montanum l.",3664083
"viola palustris l.",5331355
"dactylorhiza majalis (rchb.) p.f.hunt & summerh.",2810155
"cardamine hirsuta l.",3046258
"geranium sylvaticum l.",2891147
"circaea lutetiana l.",3188794
"veronica beccabunga l.",3172062
"maianthemum bifolium (l.) f.w.schmidt",2769317
"erigeron annuus (l.) desf",3117449
"ononis spinosa l.",2977149
"linum catharticum l.",2873865
"leontodon hispidus l.",3137498
"galium odoratum (l.) scop.",2914642
"salix alba l.",5372513
"juncus bufonius l.",6413649
"sparganium erectum l.",7679536
"epipactis helleborine (l.) crantz",8998684
"ulmus glabra huds.",5361866
"galium album mill.",2913931
"erodium cicutarium (l.) l'hér.",9485490
"vaccinium uliginosum l.",8073364
"tragopogon pratensis l.",5386897
"juncus inflexus l.",2701841
"menyanthes trifoliata l.",5341511
"carex acutiformis ehrh.",2723099
"lupinus polyphyllus lindl.",2964355
"carex leporina l.",8285827
"carex arenaria l.",2721897
"sisymbrium officinale (l.) scop.",3046890
"festuca ovina l.",2704951
"bromus erectus huds.",7647071
"eleocharis palustris (l.) roem. & schult.",2717002
"cirsium oleraceum (l.) scop.",3113650
"rhinanthus minor l.",3172043
"scutellaria galericulata l.",2926759
"robinia pseudoacacia l.",5352251
"persicaria hydropiper (l.) spach",8323622
"salix aurita l.",5372876
"trifolium medium l.",5358812
"epilobium palustre l.",3189080
"equisetum sylvaticum l.",2687929
"paris quadrifolia l.",5295911
"anthyllis vulneraria l.",5352367
"alnus incana (l.) moench",9148577
"allium ursinum l.",2857601
"carex echinata murray",2726894
"sambucus racemosa l.",2888723
"gnaphalium uliginosum l.",5390848
"galium saxatile l.",2914547
"lactuca serriola l.",3140490
"danthonia decumbens (l.) dc.",2703250
"polypodium vulgare l.",5274951
"fallopia convolvulus (l.) á.löve",6391461
"cerastium glomeratum thuill.",3085440
"salix repens l.",9148812
"centaurea scabiosa l.",8087525
"dipsacus fullonum l.",8435025
"solanum nigrum l.",9150405
"solanum nigrum subsp. nigrum",10822444
"juncus acutiflorus ehrh. ex hoffm.",2701571
"agrostis canina l.",2706465
"epilobium parviflorum schreb.",3189157
"anagallis arvensis l.",8184903
"clinopodium vulgare l.",2926945
"pastinaca sativa l.",8262702
"mycelis muralis (l.) dumort.",3139040
"arenaria serpyllifolia l.",8089871
"hepatica nobilis schreb.",5371699
"gymnadenia conopsea (l.) r.br.",7845022
"moehringia trinervia (l.) clairv.",3085370
"stachys officinalis (l.) trevis.",2927280
"ranunculus sceleratus l.",3033374
"drosera rotundifolia l.",3191030
"hyacinthoides non-scripta (l.) chouard ex rothm.",5304283
"matricaria chamomilla l.",8370958
"vinca minor l.",3169707
"ulmus minor mill.",5361865
"euphorbia helioscopia l.",3066367
"galium uliginosum l.",2913556
"arabidopsis thaliana (l.) heynh.",3052436
"primula elatior (l.) hill",5414326
"rosa rugosa thunb.",3003979
"castanea sativa mill.",5333294
"parnassia palustris l.",3032585
"hydrocotyle vulgaris l.",3034606
"hieracium umbellatum l.",3135329
"carex remota l.",2727294
"saponaria officinalis l.",3085360
"vicia hirsuta (l.) gray",2975328
"milium effusum l.",2706196
"arctium minus (hill) bernh.",5393103
"trisetum flavescens (l.) p.beauv.",2704389
"ulex europaeus l.",2951984
"helianthemum nummularium (l.) mill.",8890062
"trifolium arvense l.",5359246
"tilia cordata mill.",3152047
"buddleja davidii franch.",3173338
"centaurea nigra l.",3128225
"melilotus albus medik.",2971095
"epilobium ciliatum raf.",9188840
"polygala vulgaris l.",3191374
"carex disticha huds.",2725082
"nuphar lutea (l.) sibth. & sm.",7551339
"trifolium campestre schreb.",5359477
"sanguisorba officinalis l.",3029627
"pulicaria dysenterica (l.) bernh.",3095609
"torilis japonica (houtt.) dc.",3034820
"prunus serotina ehrh.",3021850
"blechnum spicant (l.) roth",5275365
"sinapis arvensis l.",3047598
"impatiens parviflora dc.",2891782
"salvia pratensis l.",2927007
"solidago canadensis l.",5389029
"picris hieracioides l.",3093337
"cichorium intybus l.",5392252
"carex pallescens l.",2726592
"aesculus hippocastanum l.",3189815
"rubus saxatilis l.",2992808
"malva sylvestris l.",3152374
"chaerophyllum temulum l.",3034650
"veronica hederifolia l.",3172070
"hypericum maculatum crantz",6437017
"potamogeton natans l.",5301147
"prunus laurocerasus l.",3021496
"rumex sanguineus l.",2888960
"jasione montana l.",8366345
"draba verna l.",7473187
"mentha arvensis l.",2927192
"brachypodium pinnatum (l.) p.beauv.",5290142
"medicago sativa l.",9151957
"rosa arvensis huds.",3007054
"trollius europaeus l.",3033289
"platanthera bifolia (l.) rich.",9213153
"platanthera bifolia subsp. bifolia",10573403
"crataegus laevigata (poir.) dc.",8252683
"solidago gigantea aiton",5389017
"heracleum mantegazzianum sommier & levier",3034825
"cymbalaria muralis g.gaertn., b.mey. & scherb.",8200663
"potentilla sterilis (l.) garcke",5366922
"stellaria alsine grimm",5384606
"melica nutans l.",4118973
"carex canescens l.",2722942
"orchis mascula (l.) l.",2849427
"carex acuta l.",2722833
"calamagrostis canescens (weber) roth",4108861
"asplenium scolopendrium l.",2650669
"lycopodium annotinum l.",3992189
"viscum album l.",2889828
"lysimachia europaea (l.) u.manns & anderb.",8272844
"vaccinium oxycoccos l.",2882940
"asplenium ruta-muraria l.",2650625
"gymnocarpium dryopteris (l.) newman",2650832
"cruciata laevipes opiz",5338920
"spergula arvensis l.",3085810
"juncus bulbosus l.",2701339
"trifolium hybridum l.",6109535
"helictotrichon pubescens (huds.) pilg.",2703793
"viola odorata l.",5331181
"ribes rubrum l.",2986097
"rhamnus cathartica l.",3039491
"juglans regia l.",3054368
"euphorbia peplus l.",3066386
"rubus fruticosus l.",8436459
"asplenium trichomanes l.",8108066
"atriplex prostrata dc.",3083786
"lathyrus linifolius (reichard) bässler",5356393
"carex paniculata l.",2723371
"campanula trachelium l.",5412014
"cardamine flexuosa with.",3046076
"echinochloa crus-galli (l.) p.beauv.",2702808
"viola reichenbachiana jord. ex boreau",5663962
"daphne mezereum l.",5420852
"thymus pulegioides l.",5341443
"cerastium arvense l.",3085433
"myosotis laxa subsp. caespitosa (schultz) hyl. ex nordh.",12186874
"verbascum thapsus l.",3171949
"galium boreale l.",2914338
"bidens tripartita l.",5391862
"ribes uva-crispa l.",2986185
"crepis paludosa (l.) moench",5403296
"geranium pusillum l.",2890212
"primula vulgaris huds.",5414335
"sedum album l.",5362008
"peucedanum palustre (l.) moench",3634395
"viola tricolor l.",5331347
"viola hirta l.",5664290
"abies alba mill.",2685484
"myrica gale l.",5414202
"atriplex patula l.",3083728
"anacamptis pyramidalis (l.) rich.",2808330
"epilobium tetragonum l.",7322563
"andromeda polifolia l.",5333413
"potamogeton pectinatus l.",7871428
"verbena officinalis l.",2925529
"fumaria officinalis l.",5334217
"bistorta vivipara (l.) delarbre",2889299
"antennaria dioica (l.) gaertn.",5385604
"rorippa palustris (l.) besser",3053168
"carduus crispus l.",3114649
"geranium pyrenaicum burm.f.",2890122
"euphorbia amygdaloides l.",3065239
"festuca gigantea (l.) vill.",8368313
"carex elata all.",2724729
"pinguicula vulgaris l.",5415065
"berula erecta (huds.) coville",3034699
"phegopteris connectilis (michx.) watt",2651330
"dactylorhiza incarnata (l.) soó",8248593
"dactylorhiza incarnata var. incarnata",10287411
"centaurea cyanus l.",3089561
"rumex hydrolapathum (scop.) huds.",7291247
"allium vineale l.",7792960
"juncus tenuis willd.",2702084
"cardamine amara l.",3046044
"potentilla argentea l.",8011540
"petasites hybridus (l.) g.gaertn., b.mey. & scherb.",9490132
"centaurium erythraea rafn",5414457
"carex caryophyllea latourr.",2727655
"thlaspi arvense l.",3052680
"reseda lutea l.",3040252
"verbascum nigrum l.",3171945
"hordeum murinum l.",7886346
"hippocrepis comosa l.",5353750
"carex vesicaria l.",2722046
"eryngium campestre l.",3034426
"trichophorum cespitosum (l.) hartm.",2710592
"barbarea vulgaris (l.) w.t.aiton",5708780
"viola canina l.",5331258
"viola canina subsp. canina",9937010
"potentilla verna l.",8182596
"plantago maritima l.",3189755
"securigera varia (l.) lassen",5350005
"juncus filiformis l.",2701799
"campanula patula l.",5410564
"dioscorea communis (l.) caddick & wilkin",2755063
"persicaria lapathifolia (l.) gray",2889262
"adoxa moschatellina l.",2888794
"scabiosa columbaria l.",2888802
"carex digitata l.",2727038
"raphanus raphanistrum l.",3040983
"lemna trisulca l.",2867579
"malva moschata l.",3152379
"rumex conglomeratus murray",2888963
"hypericum tetrapterum fr.",6436469
"melica uniflora retz.",4116392
"agrostis gigantea roth",2706541
"taxus baccata l.",5284517
"juncus gerardi loisel.",6413621
"rorippa amphibia (l.) besser",3053201
"phacelia tanacetifolia benth.",2928226
"mercurialis annua l.",3062975
"galanthus nivalis l.",2855356
"lamium maculatum (l.) l.",2926684
"campanula persicifolia l.",5411475
"crepis biennis l.",5403531
"carex riparia curtis",2718117
"lysimachia thyrsiflora l.",3169358
"lathyrus vernus (l.) bernh.",5356704
"saxifraga granulata l.",7887000
"arnica montana l.",5405976
"aethusa cynapium l.",5371825
"lysimachia nemorum l.",7702019
"aquilegia vulgaris l.",3033191
"silene nutans l.",5384781
"epipactis palustris (l.) crantz",5319226
"larix decidua mill.",2686212
"colchicum autumnale l.",2739622
"cirsium heterophyllum (l.) hill",3113745
"valeriana dioica l.",2888762
"neottia nidus-avis (l.) rich.",2816176
"filipendula vulgaris moench",2988069
"schoenoplectus lacustris (l.) palla",2710941
"ballota nigra l.",2926894
"syringa vulgaris l.",5415039
"dianthus deltoides l.",3085424
"bryonia dioica jacq.",6422396
"geranium pratense l.",2891304
"symphoricarpos albus (l.) s.f.blake",8012439
"carex lasiocarpa ehrh.",2728531
"goodyera repens (l.) r.br.",2840931
"orthilia secunda (l.) house",2888310
"sanicula europaea l.",6027128
"spirodela polyrhiza (l.) schleid.",4097481
"salix viminalis l.",5372933
"triglochin palustris l.",2865280
"papaver dubium l.",2888464
"pimpinella major (l.) huds.",5371874
"borago officinalis l.",2926110
"ophrys apifera huds.",2792998
"geranium sanguineum l.",2890920
"ceratophyllum demersum l.",2882398
"luzula sylvatica (huds.) gaudin",2700859
"senecio sylvaticus l.",3107987
"thymus polytrichus subsp. britannicus (ronniger) kerguélen",5341449
"linnaea borealis l.",5334220
"malus domestica (suckow) borkh.",3001244
"malus communis poir.",5362573
"platanthera chlorantha (custer) rchb.",2797913
"carlina vulgaris l.",3105380
"elodea canadensis michx.",2865448
"berteroa incana (l.) dc.",3053522
"chenopodium polyspermum l.",8273130
"galeopsis bifida boenn.",5341303
"phyteuma spicatum l.",3166841
"juncus squarrosus l.",2701727
"hypericum pulchrum l.",3712747
"elymus caninus (l.) l.",5290319
"plantago coronopus l.",3189739
"pentaglottis sempervirens (l.) tausch ex l.h.bailey",2926130
"myriophyllum spicatum l.",5361760
"anchusa arvensis (l.) m.bieb.",5341197
"potamogeton perfoliatus l.",5301200
"melampyrum sylvaticum l.",7331633
"glaux maritima l.",4007442
"scrophularia auriculata l.",3170875
"carex demissa hornem.",2725414
"helleborus foetidus l.",6375040
"elodea nuttallii (planch.) h.st.john",5329212
"carum carvi l.",3034714
"ranunculus auricomus l.",9100915
"galinsoga quadriradiata ruiz & pav.",8298495
"impatiens noli-tangere l.",2891779
"myosoton aquaticum (l.) moench",5384501
"butomus umbellatus l.",2864467
"erica cinerea l.",5333411
"rubus chamaemorus l.",2998290
"campanula glomerata l.",5409933
"quercus rubra l.",2880539
"pedicularis palustris l.",3171734
"armeria maritima (mill.) willd.",8930531
"polygonatum odoratum (mill.) druce",2770228
"malva neglecta wallr.",3152373
"gentiana pneumonanthe l.",7270598
"cerastium semidecandrum l.",3085434
"genista tinctoria l.",5347612
"ammophila arenaria (l.) link",4126489
"poa compressa l.",2704265
"aira praecox l.",5289582
"urtica urens l.",5361815
"ribes alpinum l.",2986184
"teucrium chamaedrys l.",6411747
"jacobaea erucifolia (l.) g.gaertn., b.mey. & scherb.",10487667
"erysimum cheiranthoides l.",3048266
"aster tripolium l.",3098616
"chaenorhinum minus (l.) lange",3171669
"carex pseudocyperus l.",2722760
"salix purpurea l.",5372800
"picris echioides l.",3141855
"thalictrum flavum l.",7509607
"himantoglossum hircinum (l.) spreng.",5324951
"spergularia rubra (l.) j.presl & c.presl",3085633
"sorbus torminalis (l.) crantz",9410160
"vincetoxicum hirundinaria medik.",5414548
"chrysosplenium alternifolium l.",7339315
"actaea spicata l.",5371473
"carex pendula huds.",2722051
"lolium multiflorum lam.",4129708
"conopodium majus (gouan) loret",6026760
"senecio viscosus l.",3107855
"arctium lappa l.",7353729
"sorbus aria (l.) crantz",8411755
"scorzonera humilis l.",3111049
"chrysosplenium oppositifolium l.",7526486
"hydrocharis morsus-ranae l.",5329266
"geranium columbinum l.",2890603
"cirsium acaule (l.) scop.",3112799
"pyrola minor l.",2888272
"scleranthus annuus l.",3085894
"avena fatua l.",2705297
"apera spica-venti (l.) p.beauv.",5289642
"bolboschoenus maritimus (l.) palla",2718307
"betula nana l.",5332004
"setaria viridis (l.) p.beauv.",5289684
"pedicularis sylvatica l.",3171712
"aphanes arvensis l.",5365013
"vicia tetrasperma (l.) schreb.",2975083
"lycopodium clavatum l.",2688393
"cornus mas l.",3082263
"cystopteris fragilis (l.) bernh.",2650818
"lamium amplexicaule l.",2926679
"veronica scutellata l.",3172072
"pilosella aurantiaca (l.) f.w.schultz & sch.bip.",3122924
"berberis vulgaris l.",3033894
"sparganium emersum rehmann",2702266
"campanula rapunculus l.",5411920
"tanacetum parthenium (l.) sch.bip.",3118430
"ranunculus polyanthemos l.",7277831
"ribes nigrum l.",2986192
"veronica montana l.",8328247
"alopecurus myosuroides huds.",5290097
"astragalus glycyphyllos l.",5346998
"narthecium ossifragum (l.) huds.",5602614
"nymphaea alba l.",2882437
"triticum aestivum l.",7795888
"valerianella locusta (l.) laterr.",2888778
"hippophae rhamnoides l.",3039285
"anacamptis morio (l.) r.m.bateman, pridgeon & m.w.chase",2808565
"myosotis sylvatica ehrh. ex hoffm.",5341175
"rhododendron tomentosum (stokes) harmaja",6400569
"hieracium murorum l.",8605056
"sagittaria sagittifolia l.",5328882
"calamagrostis arundinacea (l.) roth",4109084
"mentha longifolia (l.) l.",7510173
"valeriana repens host",8188719
"sambucus ebulus l.",2888722
"datura stramonium l.",2928751
"campanula rapunculoides l.",5410436
"odontites vernus (bellardi) dumort.",8971475
"calamagrostis phragmitoides hartm.",4107931
"melilotus officinalis (l.) lam.",8193111
"salix cinerea subsp. oleifolia (sm.) macreight",5582546
"lilium martagon l.",2753146
"oxalis stricta l.",9823072
"myosotis ramosissima rochel",7589756
"malus sylvestris mill.",3001509
"polygonum bistorta l.",7925535
"ambrosia artemisiifolia l.",8002952
"carex flava l.",2726880
"carex spicata huds.",2722210
"tripleurospermum maritimum (l.) w.d.j.koch",3104173
"salix phylicifolia l.",7918641
"dianthus carthusianorum l.",8400876
"stellaria media l.",9103518
"populus alba l.",3040233
"tilia platyphyllos scop.",3152048
"euphorbia lathyris l.",3066965
"lemna gibba l.",2867569
"carex viridula michx.",7973697
"gnaphalium sylvaticum l.",3103192
"hylotelephium telephium (l.) h.ohba",2985865
"typha angustifolia l.",5289461
"pyrola rotundifolia l.",2888269
"melissa officinalis l.",5341501
"carlina acaulis l.",3105433
"corynephorus canescens (l.) p.beauv.",5290194
"ornithogalum umbellatum l.",2773448
"carex montana l.",2724108
"hypericum hirsutum l.",7921919
"epipactis atrorubens (hoffm.) besser",5318958
"trifolium fragiferum l.",5358935
"salix myrsinifolia salisb.",5372875
"triglochin maritima l.",2865368
"trifolium montanum l.",5359047
"valeriana sambucifolia subsp. sambucifolia",8063871
"saxifraga tridactylites l.",3032833
"stachys recta l.",2927298
"euphrasia stricta j.p.wolff ex j.f.lehm.",3171980
"orchis purpurea huds.",8794742
"selaginella selaginoides (l.) schrank & c.f.p.mart.",2688197
"pulsatilla vulgaris mill.",3033621
"asparagus officinalis l.",2768885
"rhynchospora alba (l.) vahl",2721119
"stellaria nemorum l.",6363434
"pseudotsuga menziesii (mirb.) franco",2685796
"carex otrubae podp.",2723259
"acer negundo l.",3189866
"festuca filiformis pourr.",2705011
"poa palustris l.",2704261
"rumex longifolius dc.",2888946
"digitaria sanguinalis (l.) scop.",5289972
"ornithopus perpusillus l.",5358256
"senecio ovatus (g.gaertn., e.mey. & scherb.) willd.",3107361
"galeopsis speciosa mill.",5341305
"salix pentandra l.",5372647
"carex hostiana dc.",2728963
"lysimachia punctata l.",3169340
"persicaria lapathifolia (l.) delarbre",7820611
"puccinellia distans (jacq.) parl.",2704688
"medicago falcata l.",2965354
"equisetum telmateia ehrh.",2687943
"bidens cernua l.",5391710
"armoracia rusticana p.gaertn., b.mey. & scherb.",3041022
"bromus inermis leyss.",2703670
"orchis militaris l.",2809968
"reseda luteola l.",3040251
"asarum europaeum l.",7313595
"carex limosa l.",2725881
"conium maculatum l.",3034807
"ceratocapnos claviculata (l.) lidén",7315229
"cochlearia danica l.",5373254
"oenanthe crocata l.",6027319
"hottonia palustris l.",4006551
"arctium tomentosum mill.",5393080
"polygonatum verticillatum (l.) all.",2770004
"rorippa sylvestris (l.) besser",3053376
"erigeron acris l.",3147080
"erigeron acris subsp. acris",10552990
"eriophorum latifolium hoppe",2730210
"artemisia campestris l.",3121461
"barbarea vulgaris r.br.",7941223
"ruscus aculeatus l.",2769766
"arctostaphylos uva-ursi (l.) spreng.",2882580
"chaerophyllum hirsutum l.",6027328
"oenanthe aquatica (l.) poir.",5371888
"oxalis corniculata l.",8427624
"picea sitchensis (bong.) carrière",5284827
"rhinanthus alectorolophus (scop.) pollich",3172045
"prunus domestica l.",7931731
"carex pulicaris l.",2726956
"coeloglossum viride (l.) hartm.",2810284
"claytonia perfoliata donn ex willd.",7736011
"populus nigra l.",3040227
"beta vulgaris l.",8971274
"gagea lutea (l.) ker gawl.",5300245
"ajuga pyramidalis l.",8429926
"berberis aquifolium pursh",3033865
"inula conyza dc.",10998833
"bartsia alpina l.",3170807
"knautia dipsacifolia (host) kreutzer",7301056
"allium oleraceum l.",2857071
"prunus cerasifera ehrh.",3021730
"carex elongata l.",2723188
"carduus nutans l.",8185959
"dryopteris affinis (lowe) fraser-jenk.",8915858
"medicago arabica (l.) huds.",2965527
"juncus alpinoarticulatus chaix",2701930
"botrychium lunaria (l.) sw.",2650165
"arabis hirsuta (l.) scop.",9202524
"apium nodiflorum (l.) lag.",3631293
"lunaria annua l.",5373324
"poa angustifolia l.",4128839
"cynoglossum officinale l.",2925815
"drosera intermedia hayne",3191157
"carex brizoides l.",2721983
"aira caryophyllea l.",7747216
"sherardia arvensis l.",5339050
"rhododendron ponticum l.",7327990
"portulaca oleracea l.",3084719
"stellaria palustris (murray ex ehrh.) hoffm.",8127028
"carex vaginata tausch",2725816
"leontodon saxatilis lam.",6082337
"gentiana asclepiadea l.",7270381
"thelypteris palustris schott",5275316
"poa alpina l.",2704234
