class,family,genus,species,subSpecies,scientificName,CW,WI,CS,CE,AW,AN,CC,HL,EP,GW,GE,Ic,FN,SF,KP,UN,YG,Tm,Ao,Kh,YK,A,B,C,D,E,N,arcticOccurence,arcticEndemicSpeciesAE,borderline,introduced,naturalized,nonNativeStableCasual,stableCasual,nativeCasual,paf,genusCount,familyCount
Pteridophyta,Isoetaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3
Pteridophyta,Isoetaceae,Isoetes,"","",Isoetes  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0301,"",""
Pteridophyta,Isoetaceae,Isoetes,lacustris,"",Isoetes lacustris ,-,-,-,-,-,-,-,-,-,r,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",3,""
Pteridophyta,Isoetaceae,Isoetes,echinospora,"",Isoetes echinospora ,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Pteridophyta,Isoetaceae,Isoetes,muricata,"",Isoetes muricata ,-,-,-,-,r,-,-,r,-,s,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Pteridophyta,Equisetaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",12
Pteridophyta,Equisetaceae,Equisetum,"","",Equisetum  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0401,"",""
Pteridophyta,Equisetaceae,Equisetum,fluviatile,"",Equisetum fluviatile ,r,-,s,r,s,s,r,s,-,-,-,f,f,-,s,r,r,r,-,r,r,-,-,-,?,F,F,1,"","","","","","","","",12,""
Pteridophyta,Equisetaceae,Equisetum,palustre,"",Equisetum palustre ,r,-,-,f,r,s,r,r,-,-,-,f,s,-,s,r,-,r,r,s,-,-,-,-,?,S,F,1,"","","","","","","","","",""
Pteridophyta,Equisetaceae,Equisetum,pratense,"",Equisetum pratense ,r,-,f,f,s,s,-,b,-,-,-,f,s,-,s,s,r,r,-,-,-,-,-,-,?,S,F,1,"","","","","","","","","",""
Pteridophyta,Equisetaceae,Equisetum,sylvaticum,"",Equisetum sylvaticum ,-,-,s,r,s,-,r,r,-,s,-,r,f,-,s,?,r,r,-,-,-,-,-,-,R,S,F,1,"","","","","","","","","",""
Pteridophyta,Equisetaceae,Equisetum,arvense,arvense,Equisetum arvense arvense,-,-,-,-,-,-,?,s,-,s,s,s,f,**,r,r,r,r,-,-,-,-,-,-,?,F,F,1,"","","","","","",1,"","",""
Pteridophyta,Equisetaceae,Equisetum,arvense,alpestre,Equisetum arvense alpestre,f,f,f,f,f,s,s,f,s,f,f,f,s,f,f,f,s,s,s,s,r,R,F,F,F,R,R,1,"","","","","","","","","",""
Pteridophyta,Equisetaceae,Equisetum,hyemale,hyemale,Equisetum hyemale hyemale,-,-,-,-,-,-,-,-,-,-,r,f,r,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Pteridophyta,Equisetaceae,Equisetum,hyemale,affine,Equisetum hyemale affine,-,-,-,-,b,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,S,1,"",1,"","","","","","","",""
Pteridophyta,Equisetaceae,Equisetum,x trachyodon,"",Equisetum x trachyodon ,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,X,X,1,"","","","","","","","","",""
Pteridophyta,Equisetaceae,Equisetum,variegatum,variegatum,Equisetum variegatum variegatum,r,f,f,f,s,f,f,f,f,f,f,f,s,f,s,f,r,s,r,s,r,R,F,F,F,F,F,1,"","","","","","","","","",""
Pteridophyta,Equisetaceae,Equisetum,variegatum,alaskanum,Equisetum variegatum alaskanum,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,F,1,"",1,"","","","","","","",""
Pteridophyta,Equisetaceae,Equisetum,scirpoides,"",Equisetum scirpoides ,r,s,f,f,s,f,s,s,-,s,-,-,r,s,s,s,?,?,?,?,?,-,-,F,F,F,F,1,"","","","","","","","","",""
Pteridophyta,Ophioglossaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9
Pteridophyta,Ophioglossaceae,Botrychium,"","",Botrychium  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0501,"",""
Pteridophyta,Ophioglossaceae,Botrychium,virginianum,"",Botrychium virginianum ,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,S,1,"",1,"","","","","","",8,""
Pteridophyta,Ophioglossaceae,Botrychium,multifidum ,multifidum,Botrychium multifidum  multifidum,-,-,-,-,-,-,-,r,-,r,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Pteridophyta,Ophioglossaceae,Botrychium,lanceolatum ,lanceolatum,Botrychium lanceolatum  lanceolatum,-,-,-,r,r,-,-,r,-,s,r,s,-,-,-,-,-,-,-,-,-,-,-,?,R,R,S,1,"","","","","","","","","",""
Pteridophyta,Ophioglossaceae,Botrychium,boreale,"",Botrychium boreale ,r,-,-,-,-,-,-,-,-,s,r,r,r,r,r,?,r,?,-,-,-,-,-,R,S,F,F,1,"","","","","","","","","",""
Pteridophyta,Ophioglossaceae,Botrychium,pinnatum,"",Botrychium pinnatum ,-,-,-,r,r,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Pteridophyta,Ophioglossaceae,Botrychium,lunaria,"",Botrychium lunaria ,s,-,-,s,r,r,-,r,-,f,f,f,s,?,s,r,-,r,b,-,r,-,-,R,F,F,F,1,"","","","","","","","","",""
Pteridophyta,Ophioglossaceae,Botrychium,minganense,"",Botrychium minganense ,-,-,-,r,s,r,-,r,-,?,-,r,?,?,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Pteridophyta,Ophioglossaceae,Botrychium,simplex,"",Botrychium simplex ,-,-,-,-,-,-,-,-,-,r,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,R,1,"","","","","","","","","",""
Pteridophyta,Ophioglossaceae,Ophioglossum,"","",Ophioglossum  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0502,"",""
Pteridophyta,Ophioglossaceae,Ophioglossum,azoricum,"",Ophioglossum azoricum ,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,R,-,R,1,"","","","","","","","",1,""
Pteridophyta,Adiantaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4
Pteridophyta,Adiantaceae,Cryptogramma,"","",Cryptogramma  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0601,"",""
Pteridophyta,Adiantaceae,Cryptogramma,stelleri,"",Cryptogramma stelleri ,-,-,-,r,r,r,-,-,-,-,-,-,-,-,r,r,-,r,r,r,-,-,-,-,-,R,S,1,"","","","","","","","",4,""
Pteridophyta,Adiantaceae,Cryptogramma,acrostichoides,"",Cryptogramma acrostichoides ,-,-,-,-,?,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Pteridophyta,Adiantaceae,Cryptogramma,sitchensis,"",Cryptogramma sitchensis ,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Pteridophyta,Adiantaceae,Cryptogramma,crispa,"",Cryptogramma crispa ,-,-,-,-,-,-,-,-,-,-,-,r,s,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Pteridophyta,Thelypteridaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
Pteridophyta,Thelypteridaceae,Phegopteris,"","",Phegopteris  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0701,"",""
Pteridophyta,Thelypteridaceae,Phegopteris,connectilis,"",Phegopteris connectilis ,-,-,-,r,s,-,-,r,-,s,s,s,s,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",1,""
Pteridophyta,Aspleniaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2
Pteridophyta,Aspleniaceae,Asplenium,"","",Asplenium  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0801,"",""
Pteridophyta,Aspleniaceae,Asplenium,viride,"",Asplenium viride ,-,-,-,-,r,-,-,r,-,s,r,-,r,-,-,?,-,?,-,-,-,-,-,-,R,R,F,1,"","","","","","","","",2,""
Pteridophyta,Aspleniaceae,Asplenium,septentrionale,"",Asplenium septentrionale ,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,b,S,1,"",1,"","","","","","","",""
Pteridophyta,Woodsiaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15
Pteridophyta,Woodsiaceae,Matteuccia,"","",Matteuccia  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0901,"",""
Pteridophyta,Woodsiaceae,Matteuccia,struthiopteris ,struthiopteris,Matteuccia struthiopteris  struthiopteris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,b,F,1,"",1,"","","","","","",1,""
Pteridophyta,Woodsiaceae,Athyrium,"","",Athyrium  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0902,"",""
Pteridophyta,Woodsiaceae,Athyrium,filix–femina,filix–fe,Athyrium filix–femina filix–fe,-,-,-,-,-,-,-,-,-,-,-,r,s,-,r,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",5,""
Pteridophyta,Woodsiaceae,Athyrium,filix–femina,cyclosor,Athyrium filix–femina cyclosor,-,-,r,r,s,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Pteridophyta,Woodsiaceae,Athyrium,filix–femina,angust,Athyrium filix–femina angust,-,-,-,-,-,-,-,r,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Pteridophyta,Woodsiaceae,Athyrium,distentifolium,distentifolium,Athyrium distentifolium distentifolium,-,-,-,-,-,-,-,-,-,-,-,s,f,-,b,-,-,-,-,-,-,-,-,-,?,S,F,1,"","","","","","","","","",""
Pteridophyta,Woodsiaceae,Athyrium,distentifolium,americanum,Athyrium distentifolium americanum,-,-,-,-,-,-,-,-,-,r,r,-,-,-,-,-,-,-,-,-,-,-,-,-,?,S,F,1,"","","","","","","","","",""
Pteridophyta,Woodsiaceae,Diplazium,"","",Diplazium  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0903,"",""
Pteridophyta,Woodsiaceae,Diplazium,sibiricum,"",Diplazium sibiricum ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,R,S,1,"","","","","","","","",1,""
Pteridophyta,Woodsiaceae,Gymnocarpium,"","",Gymnocarpium  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0904,"",""
Pteridophyta,Woodsiaceae,Gymnocarpium,dryopteris,"",Gymnocarpium dryopteris ,-,-,-,r,s,r,-,r,-,s,s,f,s,-,r,-,?,?,-,-,-,-,-,-,R,F,F,1,"","","","","","","","",2,""
Pteridophyta,Woodsiaceae,Gymnocarpium,continentale,"",Gymnocarpium continentale ,r,-,r,-,r,?,-,r,-,-,-,-,-,-,-,-,-,b,-,r,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Pteridophyta,Woodsiaceae,Cystopteris,"","",Cystopteris  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0905,"",""
Pteridophyta,Woodsiaceae,Cystopteris,fragilis,"",Cystopteris fragilis ,f,r,f,f,f,f,f,f,s,f,f,f,f,s,r,s,r,s,s,s,r,-,R,F,F,F,F,1,"","","","","","","","",3,""
Pteridophyta,Woodsiaceae,Cystopteris,alpina,"",Cystopteris alpina ,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,R,R,1,"","","","","","","","","",""
Pteridophyta,Woodsiaceae,Cystopteris,montana,"",Cystopteris montana ,-,-,r,s,r,r,-,r,-,r,-,-,s,-,r,-,r,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Pteridophyta,Woodsiaceae,Woodsia,"","",Woodsia  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0906,"",""
Pteridophyta,Woodsiaceae,Woodsia,ilvensis,"",Woodsia ilvensis ,s,-,r,s,s,r,r,r,-,f,f,r,r,-,r,-,-,?,?,?,?,-,-,R,F,F,F,1,"","","","","","","","",3,""
Pteridophyta,Woodsiaceae,Woodsia,alpina,"",Woodsia alpina ,r,-,r,?,r,s,r,s,r,s,s,b,-,-,-,?,-,-,-,r,-,-,R,R,F,F,F,1,"","","","","","","","","",""
Pteridophyta,Woodsiaceae,Woodsia,glabella,"",Woodsia glabella ,f,r,f,f,s,f,f,f,f,f,f,-,r,r,r,r,r,r,r,s,-,-,R,F,F,F,R,1,"","","","","","","","","",""
Pteridophyta,Dryopteridaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6
Pteridophyta,Dryopteridaceae,Dryopteris,"","",Dryopteris  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1001,"",""
Pteridophyta,Dryopteridaceae,Dryopteris,expansa,"",Dryopteris expansa ,r,-,-,r,s,r,-,r,-,s,r,s,f,-,s,-,b,r,-,-,-,-,-,-,R,F,F,1,"","","","","","","","",5,""
Pteridophyta,Dryopteridaceae,Dryopteris,carthusiana,"",Dryopteris carthusiana ,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Pteridophyta,Dryopteridaceae,Dryopteris,marginalis,"",Dryopteris marginalis ,-,-,-,-,-,-,-,-,-,r,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,R,1,"","","","","","","","","",""
Pteridophyta,Dryopteridaceae,Dryopteris,filix–m,"",Dryopteris filix–m ,-,-,-,-,-,-,-,-,-,s,r,r,r,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Pteridophyta,Dryopteridaceae,Dryopteris,fragrans,"",Dryopteris fragrans ,f,-,f,f,f,f,f,f,s,s,r,-,-,-,-,s,r,s,r,s,r,-,R,F,F,F,F,1,"","","","","","","","","",""
Pteridophyta,Dryopteridaceae,Polystichum,"","",Polystichum  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1002,"",""
Pteridophyta,Dryopteridaceae,Polystichum,lonchitis,"",Polystichum lonchitis ,-,-,-,-,-,-,-,r,-,s,s,f,s,-,-,-,-,-,-,-,-,-,-,-,R,F,F,1,"","","","","","","","",1,""
Pteridophyta,Polypodiaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2
Pteridophyta,Polypodiaceae,Polypodium,"","",Polypodium  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1101,"",""
Pteridophyta,Polypodiaceae,Polypodium,sibiricum,"",Polypodium sibiricum ,-,-,-,-,r,r,r,r,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",2,""
Pteridophyta,Polypodiaceae,Polypodium,vulgare,"",Polypodium vulgare ,-,-,-,-,-,-,-,-,-,-,-,s,r,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Pteridophyta,Blechnaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
Pteridophyta,Blechnaceae,Blechnum,"","",Blechnum  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1201,"",""
Pteridophyta,Blechnaceae,Blechnum,spicant,"",Blechnum spicant ,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",1,""
Gymnospermae,Pinaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",12
Gymnospermae,Pinaceae,Abies,"","",Abies  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1301,"",""
Gymnospermae,Pinaceae,Abies,balsamea,"",Abies balsamea ,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,F,1,"",1,"","","","","","",1,""
Gymnospermae,Pinaceae,Picea,"","",Picea  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1302,"",""
Gymnospermae,Pinaceae,Picea,abies,abies,Picea abies abies,-,-,-,-,-,-,-,-,-,-,-,-,b,-,s,?,-,-,-,-,-,-,-,-,-,S,F,1,"","","","","","","","",4,""
Gymnospermae,Pinaceae,Picea,abies,obovata,Picea abies obovata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,r,r,-,-,-,-,-,-,-,S,F,1,"","","","","","","","","",""
Gymnospermae,Pinaceae,Picea,glauca,"",Picea glauca ,-,-,-,-,r,r,r,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Gymnospermae,Pinaceae,Picea,mariana,"",Picea mariana ,-,-,-,-,r,r,r,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Gymnospermae,Pinaceae,Larix,"","",Larix  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1303,"",""
Gymnospermae,Pinaceae,Larix,sibirica,"",Larix sibirica ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,s,s,?,-,-,-,-,-,-,-,S,F,1,"","","","","","","","",4,""
Gymnospermae,Pinaceae,Larix,dahurica,"",Larix dahurica ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,s,-,-,-,-,-,-,-,S,F,1,"","","","","","","","","",""
Gymnospermae,Pinaceae,Larix,cajanderi,"",Larix cajanderi ,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,s,r,-,-,-,-,S,F,1,"","","","","","","","","",""
Gymnospermae,Pinaceae,Larix,laricina,"",Larix laricina ,-,-,-,-,b,r,r,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Gymnospermae,Pinaceae,Pinus,"","",Pinus  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1304,"",""
Gymnospermae,Pinaceae,Pinus,sylvestris,lapponica,Pinus sylvestris lapponica,-,-,-,-,-,-,-,-,-,-,-,-,r,-,r,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",3,""
Gymnospermae,Pinaceae,Pinus,sibirica,"",Pinus sibirica ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,r,r,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Gymnospermae,Pinaceae,Pinus,pumila,"",Pinus pumila ,r,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,r,-,-,-,-,R,F,1,"","","","","","","","","",""
Gymnospermae,Cupressaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4
Gymnospermae,Cupressaceae,Juniperus,"","",Juniperus  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1401,"",""
Gymnospermae,Cupressaceae,Juniperus,communis,communis,Juniperus communis communis,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,r,b,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",4,""
Gymnospermae,Cupressaceae,Juniperus,communis,nana,Juniperus communis nana,s,-,-,-,?,-,-,-,-,s,s,f,f,-,r,s,r,b,-,r,b,-,-,-,R,F,F,1,"","","","","","","","","",""
Gymnospermae,Cupressaceae,Juniperus,communis,depressa,Juniperus communis depressa,-,-,-,-,r,s,r,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,F,1,"","","","","","","","","",""
Gymnospermae,Cupressaceae,Juniperus,horizontalis,"",Juniperus horizontalis ,-,-,-,-,-,-,r,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Nymphaeaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5
Angiospermae,Nymphaeaceae,Nuphar,"","",Nuphar  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1501,"",""
Angiospermae,Nymphaeaceae,Nuphar,pumila,"",Nuphar pumila ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,b,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",3,""
Angiospermae,Nymphaeaceae,Nuphar,polysepala,"",Nuphar polysepala ,-,-,-,-,r,r,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Nymphaeaceae,Nuphar,variegata,"",Nuphar variegata ,-,-,-,-,-,-,b,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,F,1,"",1,"","","","","","","",""
Angiospermae,Nymphaeaceae,Nymphaea,"","",Nymphaea  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1502,"",""
Angiospermae,Nymphaeaceae,Nymphaea,tetragona,tetragona,Nymphaea tetragona tetragona,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,b,F,1,"",1,"","","","","","",2,""
Angiospermae,Nymphaeaceae,Nymphaea,tetragona,leibergii,Nymphaea tetragona leibergii,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,F,1,"",1,"","","","","","","",""
Angiospermae,Araceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4
